State,Zip,CarrierType,VehicleType,cnt
CA,92067,INDIVIDUAL,BUS SCHOOL,1
CA,92069,INDIVIDUAL,BUS NON SCHOOL,1
CA,92069,INDIVIDUAL,BUS SCHOOL,1
CA,92069,LOCAL GOVERNMENT (U.S. ONLY),BUS SCHOOL,8
CA,92069,PRIVATE,BUS SCHOOL,3
CA,92069,U.S. GOVERNMENT,BUS SCHOOL,1
CA,92071,INDIVIDUAL,BUS NON SCHOOL,2
CA,92071,INDIVIDUAL,BUS SCHOOL,1
CA,92071,LOCAL GOVERNMENT (U.S. ONLY),BUS SCHOOL,2
CA,92071,PRIVATE,BUS NON SCHOOL,1
CA,92075,INDIVIDUAL,BUS SCHOOL,1
CA,92075,PRIVATE,BUS SCHOOL,7
CA,92078,INDIVIDUAL,BUS NON SCHOOL,1
CA,92081,FINANCE LEASE,BUS NON SCHOOL,1
CA,92081,INDIVIDUAL,BUS NON SCHOOL,2
CA,92081,PRIVATE,BUS NON SCHOOL,1
CA,92081,PRIVATE,BUS SCHOOL,3
CA,92082,INDIVIDUAL,BUS NON SCHOOL,3
CA,92082,INDIVIDUAL,BUS SCHOOL,1
CA,92082,LOCAL GOVERNMENT (U.S. ONLY),BUS SCHOOL,4
CA,92082,PRIVATE,BUS NON SCHOOL,1
CA,92082,PRIVATE,BUS SCHOOL,1
CA,92083,FOR HIRE,BUS NON SCHOOL,1
CA,92083,PRIVATE,BUS SCHOOL,3
CA,92084,INDIVIDUAL,BUS NON SCHOOL,1
CA,92084,INDIVIDUAL,BUS SCHOOL,1
CA,92084,LOCAL GOVERNMENT (U.S. ONLY),BUS SCHOOL,8
CA,92084,PRIVATE,BUS NON SCHOOL,1
CA,92085,PRIVATE,BUS SCHOOL,1
CA,92086,LOCAL GOVERNMENT (U.S. ONLY),BUS SCHOOL,5
CA,92093,INDIVIDUAL,BUS NON SCHOOL,5
CA,92093,PRIVATE,BUS NON SCHOOL,2
CA,92093,STATE GOVERNMENT (U.S. ONLY),BUS NON SCHOOL,1
CA,92101,FOR HIRE,BUS NON SCHOOL,21
CA,92101,FULL SERVICE LEASE,BUS NON SCHOOL,8
CA,92101,INDIVIDUAL,BUS NON SCHOOL,1
CA,92101,LOCAL GOVERNMENT (U.S. ONLY),BUS NON SCHOOL,13
CA,92101,PRIVATE,BUS NON SCHOOL,3
CA,92101,PRIVATE,BUS SCHOOL,4
CA,92101,UTILITIES/COMMUNICATIONS,BUS NON SCHOOL,1
CA,92102,FOR HIRE,BUS NON SCHOOL,4
CA,92102,FOR HIRE,BUS SCHOOL,14
CA,92102,FULL SERVICE LEASE,BUS SCHOOL,1
CA,92102,INDIVIDUAL,BUS NON SCHOOL,1
CA,92102,PRIVATE,BUS NON SCHOOL,6
CA,92102,PRIVATE,BUS SCHOOL,7
CA,92103,INDIVIDUAL,BUS SCHOOL,1
CA,92103,PRIVATE,BUS NON SCHOOL,1
CA,92103,PRIVATE,BUS SCHOOL,1
CA,92104,INDIVIDUAL,BUS NON SCHOOL,1
CA,92104,INDIVIDUAL,BUS SCHOOL,2
CA,92105,INDIVIDUAL,BUS NON SCHOOL,1
CA,92105,INDIVIDUAL,BUS SCHOOL,3
CA,92105,LOCAL GOVERNMENT (U.S. ONLY),BUS SCHOOL,2
CA,92105,PRIVATE,BUS NON SCHOOL,1
CA,92106,PRIVATE,BUS NON SCHOOL,4
CA,92106,PRIVATE,BUS SCHOOL,1
CA,92107,FOR HIRE,BUS NON SCHOOL,1
CA,92107,INDIVIDUAL,BUS SCHOOL,4
CA,92107,LOCAL GOVERNMENT (U.S. ONLY),BUS SCHOOL,2
CA,92107,PRIVATE,BUS SCHOOL,1
CA,92108,FOR HIRE,BUS NON SCHOOL,6
CA,92108,INDIVIDUAL,BUS NON SCHOOL,5
CA,92108,PRIVATE,BUS NON SCHOOL,3
CA,92108,PRIVATE,BUS SCHOOL,1
CA,92109,FOR HIRE,BUS NON SCHOOL,4
CA,92109,INDIVIDUAL,BUS NON SCHOOL,2
CA,92109,INDIVIDUAL,BUS SCHOOL,2
CA,92109,PRIVATE,BUS NON SCHOOL,4
CA,92109,PRIVATE,BUS SCHOOL,2
CA,92110,FOR HIRE,BUS NON SCHOOL,7
CA,92110,FULL SERVICE LEASE,BUS NON SCHOOL,1
CA,92110,INDIVIDUAL,BUS NON SCHOOL,4
CA,92110,INDIVIDUAL,BUS SCHOOL,3
CA,92110,PRIVATE,BUS NON SCHOOL,5
CA,92110,PRIVATE,BUS SCHOOL,1
CA,92111,DEALER,BUS SCHOOL,2
CA,92111,INDIVIDUAL,BUS NON SCHOOL,1
CA,92111,INDIVIDUAL,BUS SCHOOL,1
CA,92111,LOCAL GOVERNMENT (U.S. ONLY),BUS SCHOOL,12
CA,92111,PRIVATE,BUS NON SCHOOL,2
CA,92111,PRIVATE,BUS SCHOOL,11
CA,92113,FOR HIRE,BUS NON SCHOOL,22
CA,92113,FOR HIRE,BUS SCHOOL,3
CA,92113,INDIVIDUAL,BUS NON SCHOOL,3
CA,92113,PRIVATE,BUS NON SCHOOL,7
CA,92113,PRIVATE,BUS SCHOOL,16
CA,92114,FOR HIRE,BUS SCHOOL,2
CA,92114,INDIVIDUAL,BUS NON SCHOOL,1
CA,92114,LOCAL GOVERNMENT (U.S. ONLY),BUS SCHOOL,1
CA,92114,PRIVATE,BUS SCHOOL,3
CA,92115,DEALER,BUS NON SCHOOL,1
CA,92115,INDIVIDUAL,BUS NON SCHOOL,13
CA,92115,INDIVIDUAL,BUS SCHOOL,2
CA,92115,PRIVATE,BUS NON SCHOOL,1
CA,92115,PRIVATE,BUS SCHOOL,5
CA,92117,FOR HIRE,BUS NON SCHOOL,2
CA,92117,FOR HIRE,BUS SCHOOL,5
CA,92117,INDIVIDUAL,BUS NON SCHOOL,1
CA,92117,INDIVIDUAL,BUS SCHOOL,1
CA,92117,LOCAL GOVERNMENT (U.S. ONLY),BUS SCHOOL,1
CA,92118,INDIVIDUAL,BUS NON SCHOOL,2
CA,92118,INDIVIDUAL,BUS SCHOOL,1
CA,92118,LOCAL GOVERNMENT (U.S. ONLY),BUS SCHOOL,1
CA,92118,PRIVATE,BUS SCHOOL,2
CA,92120,FOR HIRE,BUS NON SCHOOL,2
CA,92120,PRIVATE,BUS NON SCHOOL,4
CA,92121,PRIVATE,BUS NON SCHOOL,2
CA,92121,PRIVATE,BUS SCHOOL,1
CA,92121,UTILITIES/COMMUNICATIONS,BUS NON SCHOOL,1
CA,92122,PRIVATE,BUS NON SCHOOL,1
CA,92123,FINANCE LEASE,BUS NON SCHOOL,1
CA,92123,FOR HIRE,BUS NON SCHOOL,1
CA,92123,FULL SERVICE LEASE,BUS NON SCHOOL,1
CA,92123,INDIVIDUAL,BUS NON SCHOOL,1
CA,92123,INDIVIDUAL,BUS SCHOOL,3
CA,92123,LOCAL GOVERNMENT (U.S. ONLY),BUS NON SCHOOL,3
CA,92123,PRIVATE,BUS NON SCHOOL,1
CA,92123,PRIVATE,BUS SCHOOL,14
CA,92123,UTILITIES/COMMUNICATIONS,BUS SCHOOL,1
CA,92124,FOR HIRE,BUS SCHOOL,1
CA,92124,INDIVIDUAL,BUS SCHOOL,2
CA,92124,PRIVATE,BUS SCHOOL,4
CA,92126,FOR HIRE,BUS NON SCHOOL,3
CA,92126,INDIVIDUAL,BUS NON SCHOOL,2
CA,92126,PRIVATE,BUS NON SCHOOL,4
CA,92126,PRIVATE,BUS SCHOOL,1
CA,92127,INDIVIDUAL,BUS NON SCHOOL,2
CA,92128,INDIVIDUAL,BUS SCHOOL,1
CA,92128,PRIVATE,BUS NON SCHOOL,1
CA,92130,INDIVIDUAL,BUS SCHOOL,1
CA,92130,PRIVATE,BUS SCHOOL,5
CA,92131,FINANCE LEASE,BUS NON SCHOOL,1
CA,92131,FINANCE LEASE,BUS SCHOOL,1
CA,92131,LOCAL GOVERNMENT (U.S. ONLY),BUS SCHOOL,2
CA,92131,PRIVATE,BUS NON SCHOOL,2
CA,92139,INDIVIDUAL,BUS NON SCHOOL,1
CA,92139,INDIVIDUAL,BUS SCHOOL,2
CA,92143,FOR HIRE,BUS NON SCHOOL,1
CA,92143,INDIVIDUAL,BUS NON SCHOOL,1
CA,92145,LOCAL GOVERNMENT (U.S. ONLY),BUS SCHOOL,2
CA,92145,U.S. GOVERNMENT,BUS SCHOOL,1
CA,92154,DEALER,BUS SCHOOL,2
CA,92154,FINANCE LEASE,BUS NON SCHOOL,1
CA,92154,FOR HIRE,BUS NON SCHOOL,13
CA,92154,FOR HIRE,BUS SCHOOL,8
CA,92154,FULL SERVICE LEASE,BUS NON SCHOOL,1
CA,92154,INDIVIDUAL,BUS NON SCHOOL,19
CA,92154,INDIVIDUAL,BUS SCHOOL,48
CA,92154,LOCAL GOVERNMENT (U.S. ONLY),BUS NON SCHOOL,1
CA,92154,PRIVATE,BUS NON SCHOOL,8
CA,92154,PRIVATE,BUS SCHOOL,10
CA,92158,LOCAL GOVERNMENT (U.S. ONLY),BUS NON SCHOOL,1
CA,92158,LOCAL GOVERNMENT (U.S. ONLY),BUS SCHOOL,1
CA,92169,FOR HIRE,BUS NON SCHOOL,1
CA,92173,DEALER,BUS SCHOOL,1
CA,92173,FOR HIRE,BUS NON SCHOOL,18
CA,92173,INDIVIDUAL,BUS NON SCHOOL,12
CA,92173,INDIVIDUAL,BUS SCHOOL,8
CA,92173,LOCAL GOVERNMENT (U.S. ONLY),BUS SCHOOL,5
CA,92173,PRIVATE,BUS NON SCHOOL,2
CA,92173,PRIVATE,BUS SCHOOL,1
CA,92173,STATE GOVERNMENT (U.S. ONLY),BUS NON SCHOOL,1
CA,92177,PRIVATE,BUS SCHOOL,2
CA,92186,FINANCE LEASE,BUS SCHOOL,1
CA,92201,FINANCE LEASE,BUS NON SCHOOL,1
CA,92201,INDIVIDUAL,BUS NON SCHOOL,3
CA,92201,PRIVATE,BUS NON SCHOOL,4
CA,92201,PRIVATE,BUS SCHOOL,1
CA,92203,INDIVIDUAL,BUS NON SCHOOL,1
CA,92203,INDIVIDUAL,BUS SCHOOL,1
CA,92211,FOR HIRE,BUS NON SCHOOL,2
CA,92211,PRIVATE,BUS NON SCHOOL,7
CA,92220,INDIVIDUAL,BUS SCHOOL,1
CA,92220,LOCAL GOVERNMENT (U.S. ONLY),BUS NON SCHOOL,2
CA,92220,LOCAL GOVERNMENT (U.S. ONLY),BUS SCHOOL,7
CA,92220,PRIVATE,BUS SCHOOL,2
CA,92220,U.S. GOVERNMENT,BUS NON SCHOOL,1
CA,92220,U.S. GOVERNMENT,BUS SCHOOL,6
CA,92223,FINANCE LEASE,BUS NON SCHOOL,1
CA,92223,INDIVIDUAL,BUS NON SCHOOL,2
CA,92223,INDIVIDUAL,BUS SCHOOL,2
CA,92223,LOCAL GOVERNMENT (U.S. ONLY),BUS SCHOOL,8
CA,92223,PRIVATE,BUS NON SCHOOL,1
CA,92223,PRIVATE,BUS SCHOOL,2
CA,92225,LOCAL GOVERNMENT (U.S. ONLY),BUS NON SCHOOL,1
CA,92225,LOCAL GOVERNMENT (U.S. ONLY),BUS SCHOOL,7
CA,92227,FOR HIRE,BUS NON SCHOOL,1
CA,92227,INDIVIDUAL,BUS NON SCHOOL,1
CA,92227,INDIVIDUAL,BUS SCHOOL,3
CA,92227,LOCAL GOVERNMENT (U.S. ONLY),BUS NON SCHOOL,1
CA,92227,LOCAL GOVERNMENT (U.S. ONLY),BUS SCHOOL,9
CA,92227,PRIVATE,BUS SCHOOL,17
CA,92231,DEALER,BUS SCHOOL,3
CA,92231,FOR HIRE,BUS NON SCHOOL,7
CA,92231,FOR HIRE,BUS SCHOOL,12
CA,92231,FULL SERVICE LEASE,BUS SCHOOL,13
CA,92231,INDIVIDUAL,BUS NON SCHOOL,11
CA,92231,INDIVIDUAL,BUS SCHOOL,42
CA,92231,LOCAL GOVERNMENT (U.S. ONLY),BUS SCHOOL,11
CA,92231,PRIVATE,BUS NON SCHOOL,17
CA,92231,PRIVATE,BUS SCHOOL,19
CA,92232,DEALER,BUS SCHOOL,5
CA,92232,FOR HIRE,BUS SCHOOL,12
CA,92232,FULL SERVICE LEASE,BUS SCHOOL,8
CA,92232,INDIVIDUAL,BUS NON SCHOOL,2
CA,92232,INDIVIDUAL,BUS SCHOOL,6
CA,92232,PRIVATE,BUS SCHOOL,9
CA,92233,INDIVIDUAL,BUS SCHOOL,3
CA,92233,LOCAL GOVERNMENT (U.S. ONLY),BUS SCHOOL,6
CA,92234,INDIVIDUAL,BUS NON SCHOOL,2
CA,92234,INDIVIDUAL,BUS SCHOOL,1
CA,92236,FOR HIRE,BUS NON SCHOOL,1
CA,92236,LOCAL GOVERNMENT (U.S. ONLY),BUS SCHOOL,1
CA,92236,PRIVATE,BUS SCHOOL,1
CA,92239,LOCAL GOVERNMENT (U.S. ONLY),BUS SCHOOL,3
CA,92243,FOR HIRE,BUS NON SCHOOL,1
CA,92243,FOR HIRE,BUS SCHOOL,1
CA,92243,FULL SERVICE LEASE,BUS SCHOOL,2
CA,92243,INDIVIDUAL,BUS NON SCHOOL,5
CA,92243,INDIVIDUAL,BUS SCHOOL,7
CA,92243,LOCAL GOVERNMENT (U.S. ONLY),BUS NON SCHOOL,2
CA,92243,LOCAL GOVERNMENT (U.S. ONLY),BUS SCHOOL,28
CA,92243,PRIVATE,BUS SCHOOL,8
CA,92243,U.S. GOVERNMENT,BUS SCHOOL,1
CA,92244,FOR HIRE,BUS SCHOOL,1
CA,92244,INDIVIDUAL,BUS NON SCHOOL,1
CA,92244,INDIVIDUAL,BUS SCHOOL,9
CA,92247,FINANCE LEASE,BUS NON SCHOOL,1
CA,92249,FOR HIRE,BUS SCHOOL,2
CA,92249,INDIVIDUAL,BUS SCHOOL,6
CA,92249,LOCAL GOVERNMENT (U.S. ONLY),BUS SCHOOL,4
CA,92249,PRIVATE,BUS SCHOOL,24
CA,92250,INDIVIDUAL,BUS NON SCHOOL,4
CA,92250,INDIVIDUAL,BUS SCHOOL,7
CA,92250,LOCAL GOVERNMENT (U.S. ONLY),BUS SCHOOL,1
CA,92250,PRIVATE,BUS NON SCHOOL,1
CA,92250,PRIVATE,BUS SCHOOL,15
CA,92251,INDIVIDUAL,BUS NON SCHOOL,1
CA,92251,INDIVIDUAL,BUS SCHOOL,1
CA,92251,LOCAL GOVERNMENT (U.S. ONLY),BUS SCHOOL,12
CA,92251,PRIVATE,BUS SCHOOL,6
CA,92252,FOR HIRE,BUS NON SCHOOL,1
CA,92252,INDIVIDUAL,BUS SCHOOL,2
CA,92253,INDIVIDUAL,BUS NON SCHOOL,1
CA,92253,INDIVIDUAL,BUS SCHOOL,1
CA,92253,LOCAL GOVERNMENT (U.S. ONLY),BUS SCHOOL,14
CA,92254,INDIVIDUAL,BUS NON SCHOOL,1
CA,92254,PRIVATE,BUS NON SCHOOL,1
CA,92254,PRIVATE,BUS SCHOOL,1
CA,92257,INDIVIDUAL,BUS SCHOOL,2
CA,92260,FOR HIRE,BUS NON SCHOOL,1
CA,92260,INDIVIDUAL,BUS NON SCHOOL,2
CA,92260,PRIVATE,BUS SCHOOL,2
CA,92262,FOR HIRE,BUS NON SCHOOL,8
CA,92262,LOCAL GOVERNMENT (U.S. ONLY),BUS NON SCHOOL,2
CA,92263,INDIVIDUAL,BUS SCHOOL,1
CA,92264,FINANCE LEASE,BUS NON SCHOOL,2
CA,92264,FOR HIRE,BUS SCHOOL,16
CA,92264,INDIVIDUAL,BUS NON SCHOOL,1
CA,92264,LOCAL GOVERNMENT (U.S. ONLY),BUS SCHOOL,1
CA,92264,PRIVATE,BUS SCHOOL,5
CA,92270,INDIVIDUAL,BUS NON SCHOOL,3
CA,92270,PRIVATE,BUS NON SCHOOL,1
CA,92273,LOCAL GOVERNMENT (U.S. ONLY),BUS SCHOOL,2
CA,92274,INDIVIDUAL,BUS SCHOOL,1
CA,92274,LOCAL GOVERNMENT (U.S. ONLY),BUS SCHOOL,15
CA,92274,PRIVATE,BUS SCHOOL,4
CA,92276,FOR HIRE,BUS NON SCHOOL,3
CA,92276,INDIVIDUAL,BUS NON SCHOOL,1
CA,92277,FOR HIRE,BUS SCHOOL,2
CA,92277,INDIVIDUAL,BUS NON SCHOOL,1
CA,92277,PRIVATE,BUS SCHOOL,11
CA,92281,LOCAL GOVERNMENT (U.S. ONLY),BUS SCHOOL,2
CA,92283,LOCAL GOVERNMENT (U.S. ONLY),BUS SCHOOL,7
CA,92283,U.S. GOVERNMENT,BUS SCHOOL,1
CA,92284,FOR HIRE,BUS SCHOOL,15
CA,92284,INDIVIDUAL,BUS SCHOOL,1
CA,92284,PRIVATE,BUS NON SCHOOL,1
CA,92284,PRIVATE,BUS SCHOOL,2
CA,92285,INDIVIDUAL,BUS SCHOOL,1
CA,92301,FULL SERVICE LEASE,BUS NON SCHOOL,1
CA,92301,LOCAL GOVERNMENT (U.S. ONLY),BUS SCHOOL,9
CA,92307,FOR HIRE,BUS NON SCHOOL,5
CA,92307,FOR HIRE,BUS SCHOOL,2
CA,92307,INDIVIDUAL,BUS NON SCHOOL,2
CA,92307,INDIVIDUAL,BUS SCHOOL,2
CA,92307,LOCAL GOVERNMENT (U.S. ONLY),BUS SCHOOL,3
CA,92307,PRIVATE,BUS NON SCHOOL,1
CA,92308,INDIVIDUAL,BUS SCHOOL,1
CA,92308,LOCAL GOVERNMENT (U.S. ONLY),BUS SCHOOL,25
CA,92309,LOCAL GOVERNMENT (U.S. ONLY),BUS SCHOOL,1
CA,92310,PRIVATE,BUS NON SCHOOL,1
CA,92311,FOR HIRE,BUS SCHOOL,14
CA,92311,INDIVIDUAL,BUS NON SCHOOL,3
CA,92311,LOCAL GOVERNMENT (U.S. ONLY),BUS NON SCHOOL,1
CA,92311,PRIVATE,BUS NON SCHOOL,8
CA,92311,PRIVATE,BUS SCHOOL,14
CA,92313,INDIVIDUAL,BUS NON SCHOOL,1
CA,92315,INDIVIDUAL,BUS NON SCHOOL,1
CA,92315,INDIVIDUAL,BUS SCHOOL,1
CA,92315,LOCAL GOVERNMENT (U.S. ONLY),BUS NON SCHOOL,2
CA,92315,LOCAL GOVERNMENT (U.S. ONLY),BUS SCHOOL,3
CA,92315,PRIVATE,BUS SCHOOL,2
CA,92316,INDIVIDUAL,BUS NON SCHOOL,1
CA,92316,INDIVIDUAL,BUS SCHOOL,2
CA,92316,PRIVATE,BUS NON SCHOOL,1
CA,92320,INDIVIDUAL,BUS NON SCHOOL,1
CA,92322,INDIVIDUAL,BUS NON SCHOOL,1
CA,92323,INDIVIDUAL,BUS SCHOOL,1
CA,92324,DEALER,BUS NON SCHOOL,1
CA,92324,DEALER,BUS SCHOOL,1
CA,92324,FINANCE LEASE,BUS SCHOOL,1
CA,92324,FOR HIRE,BUS NON SCHOOL,1
CA,92324,INDIVIDUAL,BUS NON SCHOOL,1
CA,92324,INDIVIDUAL,BUS SCHOOL,1
CA,92324,LOCAL GOVERNMENT (U.S. ONLY),BUS SCHOOL,7
CA,92324,PRIVATE,BUS NON SCHOOL,10
CA,92324,PRIVATE,BUS SCHOOL,36
CA,92325,LOCAL GOVERNMENT (U.S. ONLY),BUS NON SCHOOL,1
CA,92329,INDIVIDUAL,BUS NON SCHOOL,1
CA,92334,INDIVIDUAL,BUS SCHOOL,1
CA,92335,DEALER,BUS SCHOOL,1
CA,92335,FOR HIRE,BUS NON SCHOOL,1
CA,92335,INDIVIDUAL,BUS NON SCHOOL,3
CA,92335,INDIVIDUAL,BUS SCHOOL,2
CA,92335,LOCAL GOVERNMENT (U.S. ONLY),BUS SCHOOL,6
CA,92335,PRIVATE,BUS NON SCHOOL,25
CA,92335,PRIVATE,BUS SCHOOL,19
CA,92336,INDIVIDUAL,BUS NON SCHOOL,2
CA,92337,INDIVIDUAL,BUS NON SCHOOL,1
CA,92337,PRIVATE,BUS NON SCHOOL,7
CA,92337,PRIVATE,BUS SCHOOL,8
CA,92344,INDIVIDUAL,BUS NON SCHOOL,1
CA,92345,FOR HIRE,BUS NON SCHOOL,2
CA,92345,FOR HIRE,BUS SCHOOL,13
CA,92345,INDIVIDUAL,BUS NON SCHOOL,4
CA,92345,LOCAL GOVERNMENT (U.S. ONLY),BUS NON SCHOOL,7
CA,92345,LOCAL GOVERNMENT (U.S. ONLY),BUS SCHOOL,1
CA,92345,PRIVATE,BUS NON SCHOOL,4
CA,92345,PRIVATE,BUS SCHOOL,17
CA,92346,FINANCE LEASE,BUS SCHOOL,1
CA,92346,FOR HIRE,BUS NON SCHOOL,1
CA,92346,INDIVIDUAL,BUS NON SCHOOL,1
CA,92346,INDIVIDUAL,BUS SCHOOL,1
CA,92346,LOCAL GOVERNMENT (U.S. ONLY),BUS SCHOOL,1
CA,92346,PRIVATE,BUS NON SCHOOL,3
CA,92346,PRIVATE,BUS SCHOOL,5
CA,92347,INDIVIDUAL,BUS NON SCHOOL,2
CA,92347,PRIVATE,BUS NON SCHOOL,1
CA,92352,LOCAL GOVERNMENT (U.S. ONLY),BUS SCHOOL,8
CA,92352,PRIVATE,BUS NON SCHOOL,3
CA,92354,INDIVIDUAL,BUS NON SCHOOL,1
CA,92354,INDIVIDUAL,BUS SCHOOL,1
CA,92356,LOCAL GOVERNMENT (U.S. ONLY),BUS SCHOOL,2
CA,92363,INDIVIDUAL,BUS SCHOOL,1
CA,92363,LOCAL GOVERNMENT (U.S. ONLY),BUS SCHOOL,6
CA,92363,U.S. GOVERNMENT,BUS SCHOOL,1
CA,92365,PRIVATE,BUS SCHOOL,1
CA,92368,LOCAL GOVERNMENT (U.S. ONLY),BUS SCHOOL,16
CA,92371,INDIVIDUAL,BUS NON SCHOOL,1
CA,92371,INDIVIDUAL,BUS SCHOOL,1
CA,92371,LOCAL GOVERNMENT (U.S. ONLY),BUS SCHOOL,9
CA,92373,FINANCE LEASE,BUS SCHOOL,1
CA,92373,FOR HIRE,BUS NON SCHOOL,1
CA,92373,INDIVIDUAL,BUS SCHOOL,1
CA,92374,LOCAL GOVERNMENT (U.S. ONLY),BUS SCHOOL,13
CA,92376,FINANCE LEASE,BUS SCHOOL,1
CA,92376,INDIVIDUAL,BUS NON SCHOOL,4
CA,92376,LOCAL GOVERNMENT (U.S. ONLY),BUS SCHOOL,12
CA,92376,PRIVATE,BUS NON SCHOOL,1
CA,92376,PRIVATE,BUS SCHOOL,2
CA,92377,INDIVIDUAL,BUS NON SCHOOL,2
CA,92377,PRIVATE,BUS SCHOOL,2
CA,92384,LOCAL GOVERNMENT (U.S. ONLY),BUS SCHOOL,3
CA,92392,FOR HIRE,BUS NON SCHOOL,1
CA,92392,INDIVIDUAL,BUS NON SCHOOL,8
CA,92392,LOCAL GOVERNMENT (U.S. ONLY),BUS SCHOOL,3
CA,92392,PRIVATE,BUS SCHOOL,2
CA,92394,FOR HIRE,BUS NON SCHOOL,1
CA,92395,INDIVIDUAL,BUS NON SCHOOL,1
CA,92395,INDIVIDUAL,BUS SCHOOL,1
CA,92395,LOCAL GOVERNMENT (U.S. ONLY),BUS SCHOOL,26
CA,92395,PRIVATE,BUS SCHOOL,2
CA,92397,PRIVATE,BUS NON SCHOOL,1
CA,92398,FOR HIRE,BUS SCHOOL,2
CA,92398,INDIVIDUAL,BUS SCHOOL,1
CA,92398,PRIVATE,BUS NON SCHOOL,1
CA,92399,INDIVIDUAL,BUS NON SCHOOL,5
CA,92399,PRIVATE,BUS SCHOOL,8
CA,92402,PRIVATE,BUS SCHOOL,9
CA,92404,INDIVIDUAL,BUS NON SCHOOL,2
CA,92404,PRIVATE,BUS NON SCHOOL,1
CA,92405,INDIVIDUAL,BUS NON SCHOOL,4
CA,92407,FOR HIRE,BUS NON SCHOOL,1
CA,92407,INDIVIDUAL,BUS NON SCHOOL,3
CA,92407,PRIVATE,BUS NON SCHOOL,1
CA,92407,PRIVATE,BUS SCHOOL,1
CA,92408,FULL SERVICE LEASE,BUS SCHOOL,3
CA,92408,INDIVIDUAL,BUS NON SCHOOL,1
CA,92408,PRIVATE,BUS NON SCHOOL,2
CA,92408,PRIVATE,BUS SCHOOL,12
CA,92408,U.S. GOVERNMENT,BUS SCHOOL,2
CA,92410,FOR HIRE,BUS NON SCHOOL,2
CA,92410,FOR HIRE,BUS SCHOOL,14
CA,92410,FULL SERVICE LEASE,BUS SCHOOL,1
CA,92410,INDIVIDUAL,BUS NON SCHOOL,1
CA,92410,PRIVATE,BUS SCHOOL,9
CA,92411,FOR HIRE,BUS NON SCHOOL,12
CA,92411,INDIVIDUAL,BUS NON SCHOOL,1
CA,92411,PRIVATE,BUS NON SCHOOL,1
CA,92415,LOCAL GOVERNMENT (U.S. ONLY),BUS NON SCHOOL,4
CA,92423,INDIVIDUAL,BUS SCHOOL,1
CA,92501,INDIVIDUAL,BUS NON SCHOOL,1
CA,92501,LOCAL GOVERNMENT (U.S. ONLY),BUS NON SCHOOL,2
CA,92501,LOCAL GOVERNMENT (U.S. ONLY),BUS SCHOOL,3
CA,92501,PRIVATE,BUS SCHOOL,1
CA,92502,PRIVATE,BUS SCHOOL,1
CA,92503,INDIVIDUAL,BUS NON SCHOOL,1
CA,92503,INDIVIDUAL,BUS SCHOOL,1
CA,92503,PRIVATE,BUS NON SCHOOL,1
CA,92503,PRIVATE,BUS SCHOOL,3
CA,92504,INDIVIDUAL,BUS NON SCHOOL,5
CA,92504,LOCAL GOVERNMENT (U.S. ONLY),BUS NON SCHOOL,4
CA,92504,PRIVATE,BUS NON SCHOOL,2
CA,92504,PRIVATE,BUS SCHOOL,5
CA,92505,FOR HIRE,BUS SCHOOL,9
CA,92505,INDIVIDUAL,BUS NON SCHOOL,1
CA,92505,PRIVATE,BUS NON SCHOOL,1
CA,92505,PRIVATE,BUS SCHOOL,3
CA,92506,INDIVIDUAL,BUS SCHOOL,1
CA,92506,LOCAL GOVERNMENT (U.S. ONLY),BUS NON SCHOOL,1
CA,92506,LOCAL GOVERNMENT (U.S. ONLY),BUS SCHOOL,1
CA,92507,FINANCE LEASE,BUS SCHOOL,1
CA,92507,FOR HIRE,BUS NON SCHOOL,17
CA,92507,FOR HIRE,BUS SCHOOL,13
CA,92507,INDIVIDUAL,BUS NON SCHOOL,3
CA,92507,PRIVATE,BUS NON SCHOOL,185
CA,92507,PRIVATE,BUS SCHOOL,16
CA,92507,STATE GOVERNMENT (U.S. ONLY),BUS NON SCHOOL,1
CA,92508,PRIVATE,BUS SCHOOL,4
CA,92509,FOR HIRE,BUS NON SCHOOL,2
CA,92509,FOR HIRE,BUS SCHOOL,3
CA,92509,INDIVIDUAL,BUS NON SCHOOL,2
CA,92509,INDIVIDUAL,BUS SCHOOL,1
CA,92509,LOCAL GOVERNMENT (U.S. ONLY),BUS NON SCHOOL,1
CA,92509,LOCAL GOVERNMENT (U.S. ONLY),BUS SCHOOL,2
CA,92509,PRIVATE,BUS NON SCHOOL,2
CA,92509,PRIVATE,BUS SCHOOL,2
CA,92513,INDIVIDUAL,BUS NON SCHOOL,1
CA,92516,INDIVIDUAL,BUS SCHOOL,2
CA,92517,FOR HIRE,BUS SCHOOL,2
CA,92517,PRIVATE,BUS SCHOOL,12
CA,92518,PRIVATE,BUS NON SCHOOL,1
CA,92530,INDIVIDUAL,BUS NON SCHOOL,1
CA,92530,INDIVIDUAL,BUS SCHOOL,2
CA,92530,LOCAL GOVERNMENT (U.S. ONLY),BUS SCHOOL,9
CA,92530,PRIVATE,BUS NON SCHOOL,1
CA,92530,PRIVATE,BUS SCHOOL,8
CA,92532,INDIVIDUAL,BUS NON SCHOOL,1
CA,92536,INDIVIDUAL,BUS SCHOOL,1
CA,92543,PRIVATE,BUS SCHOOL,1
CA,92544,INDIVIDUAL,BUS NON SCHOOL,3
CA,92544,INDIVIDUAL,BUS SCHOOL,2
CA,92544,PRIVATE,BUS NON SCHOOL,1
