ntdid,Legacy NTD ID,name,Reporter Acronym,Doing Business As,Reporter Status,reporter,Reporting Module,Organization Type,Reported By NTD ID,Reported by Name,Subrecipient Type,FY End Date,Original Due Date,Address Line 1,Address Line 2,P.O. Box,city,state,zipcode,zipext,region,URL,FTA Recipient ID,Duns Number,Service Area Sq Miles,Service Area Pop,Primary UZA,UZA Name,Tribal Area Name,Population,Density,Sq Miles,Required Reporter,VOMS DO,VOMS PT,Total VOMS,Volunteer Drivers,Personal Vehicles
30007,3007,Greater Roanoke Transit Company,Valley Metro,,Active,Full Reporter,Urban,Other Publicly-Owned or Privately Chartered Corporation,,,,6/30/2016,10/31/2016,"1108 Campbell Avenue, S.E.",,13247,Roanoke,VA,24032,3247,3,http://valleymetro.com/,1460,139292544,43,"97,032",172,"Roanoke, VA",,"210,111","1,692",124,Y,36,17,53,,
30008,3008,Greater Lynchburg Transit Company,GLTC,,Active,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,6/30/2016,10/31/2016,1301 Kemper Street,,797,Lynchburg,VA,24505,797,3,http://www.gltconline.com/,1455,8955429,72,"80,846",271,"Lynchburg, VA",,"116,636","1,313",89,Y,37,,37,,
30009,3009,Petersburg Area Transit,PAT,,Active,Reduced Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,6/30/2016,10/31/2016,100 W Washington Street,,,Petersburg,VA,23803,,3,http://www.petersburgva.gov/,1457,66004375,7,"72,422",45,"Richmond, VA",,"953,556","1,938",492,Y,18,,18,,
30010,3010,Lehigh and Northampton Transportation Authority,LANTA,,Active,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,6/30/2016,10/31/2016,1060 Lehigh Street,,,Allentown,PA,18103,,3,http://www.lantabus.com/,1419,68571777,230,"485,712",61,"Allentown, PA-NJ",,"664,651","1,919",346,Y,71,104,175,,
30011,3011,Altoona Metro Transit,AMTRAN,AMTRAN,Active,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,6/30/2016,10/31/2016,3301 Fifth Avenue,,,Altoona,PA,16602,1801,3,http://www.amtran.org/,1420,59297549,25,"69,608",359,"Altoona, PA",,"79,930","2,138",37,Y,22,12,34,,
30012,3012,Cambria County Transit Authority,CamTran,,Active,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,6/30/2016,10/31/2016,502 Maple Avenue,,,Johnstown,PA,15901,,3,http://www.camtranbus.com/,1431,83959171,60,"80,508",400,"Johnstown, PA",,"69,014","1,787",39,Y,54,,54,,
30013,3013,Erie Metropolitan Transit Authority,the e,,Active,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,6/30/2016,10/31/2016,127 East 14th Street,,,Erie,PA,16503,1062,3,http://www.ride-the-e.com/,1425,77774289,77,"189,872",183,"Erie, PA",,"196,611","2,391",82,Y,116,,116,,
30014,3014,Cumberland Dauphin-Harrisburg Transit Authority,CAT,Capital Area Transit,Active,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,6/30/2016,10/31/2016,901 North Cameron Street,,,Harrisburg,PA,17101,,3,http://www.cattransit.com/,1427,71195879,137,"511,009",86,"Harrisburg, PA",,"444,474","1,712",260,Y,90,21,111,,
30015,3015,Luzerne County Transportation Authority,LCTA,,Active,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,6/30/2016,10/31/2016,315 Northampton Street,,,Kingston,PA,18704,5489,3,http://www.lctabus.com/,1432,69594646,56,"295,020",99,"Scranton, PA",,"381,502","2,234",171,,77,,77,,
30018,3018,Red Rose Transit Authority,RRTA,,Active,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,6/30/2016,10/31/2016,45 Erick Road,,,Lancaster,PA,17601,,3,http://www.redrosetransit.com/,1434,10584282,952,"420,920",91,"Lancaster, PA",,"402,004","1,624",248,Y,34,62,96,,
30019,3019,Southeastern Pennsylvania Transportation Authority,SEPTA,,Active,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,6/30/2016,10/31/2016,1234 Market Street,,,Philadelphia,PA,19107,3780,3,http://www.septa.org/,1947,44543841,839,"3,816,641",5,"Philadelphia, PA-NJ-DE-MD",,"5,441,567","2,746","1,981",,"1,948",391,"2,339",,
30022,3022,Port Authority of Allegheny County,Port Authority,,Active,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,6/30/2016,10/31/2016,345 Sixth Avenue,3rd Floor,,Pittsburgh,PA,15222,2527,3,http://www.portauthority.org/,1441,72158041,775,"1,415,244",27,"Pittsburgh, PA",,"1,733,853","1,916",905,Y,668,271,939,,
30023,3023,Beaver County Transit Authority,BCTA,,Active,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,6/30/2016,10/31/2016,200 West Washington Street,,,Rochester,PA,15074,2235,3,http://www.bcta.com/,1422,153757042,440,"170,539",27,"Pittsburgh, PA",,"1,733,853","1,916",905,Y,38,,38,,
30024,3024,Berks Area Regional Transportation Authority,BARTA,,Inactive,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,6/30/2016,10/31/2016,1700 North 11th Street,,,Reading,PA,19604,1599,3,http://www.bartabus.com/,1442,63881858,864,"411,442",140,"Reading, PA",,"266,254","2,564",104,Y,78,19,97,,
30025,3025,County of Lackawanna Transit System,COLTS,,Active,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,6/30/2016,10/31/2016,800 North South Road,,,Scranton,PA,18504,1410,3,http://www.coltsbus.com/,1443,155883184,170,"260,348",99,"Scranton, PA",,"381,502","2,234",171,Y,55,7,62,,
30026,3026,Williamsport Bureau of Transportation,RVT,,Active,Full Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,6/30/2016,10/31/2016,1500 West Third Street,,,Williamsport,PA,17701,,3,http://www.rideRVT.com/,1446,796356863,92,"69,764",462,"Williamsport, PA",,"56,142","2,119",27,Y,24,2,26,,
30027,3027,York County Transportation Authority,rabbittransit,,Active,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,6/30/2016,10/31/2016,415 Zarfoss Drive,,,York,PA,17404,,3,http://www.rabbittransit.org/,1447,82439001,911,"381,751",158,"York, PA",,"232,045","1,755",132,Y,147,31,178,,
30030,3030,Washington Metropolitan Area Transit Authority,WMATA,,Active,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,6/30/2016,10/31/2016,"600 Fifth Street, N.W.",,,Washington,DC,20001,,3,http://www.WMATA.com/,1398,520847040,950,"3,719,567",8,"Washington, DC-VA-MD",,"4,586,770","3,470","1,322",Y,"2,255",917,"3,172",,
30034,3034,Maryland Transit Administration,MTA,,Active,Full Reporter,Urban,State Government Unit or Department of Transportation,,,,6/30/2016,10/31/2016,6 St. Paul Street,,,Baltimore,MD,21202,1614,3,http://www.mta.maryland.gov/,1401,615962909,"2,560","7,811,145",19,"Baltimore, MD",,"2,203,663","3,073",717,Y,719,915,"1,634",,
30035,3035,Ohio Valley Regional Transportation Authority,OVRTA / EORTA,,Active,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,9/30/2016,1/31/2017,21 South Huron Street,,,Wheeling,WV,26003,,3,http://www.ovrta.org/,1470,87571733,27,"57,416",353,"Wheeling, WV-OH",,"81,249","1,728",47,Y,16,,16,,
30036,3036,Charlottesville Area Transit,CAT,,Active,Reduced Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,6/30/2016,10/31/2016,1545 Avon Street Extended,,,Charlottesville,VA,22902,,3,http://www.catchthecat.org/,1448,21351726,38,"85,755",317,"Charlottesville, VA",,"92,359","2,673",35,Y,22,,22,,
30040,3040,Annapolis Department of Transportation,Annapolis Transit,,Active,Reduced Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,6/30/2016,10/31/2016,308 Chinquapin Round Road,,,Annapolis,MD,21401,,3,http://www.annapolis.gov/government/city-departments/transportation/,,74922246,24,"130,600",19,"Baltimore, MD",,"2,203,663","3,073",717,Y,13,,13,,
30041,3041,Allegany County Transit,ACT,,Active,Reduced Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,6/30/2016,10/31/2016,1000 Lafayette Avenue,,,Cumberland,MD,21502,,3,http://gov.allconet.org/ACT/,,64891476,131,"68,780",484,"Cumberland, MD-WV-PA",,"51,899","1,591",33,Y,11,,11,,
30042,3042,Washington County Transit,County Commuter,,Active,Reduced Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,6/30/2016,10/31/2016,1000 West Washington Street,,,Hagerstown,MD,21740,5212,3,http://www.washco-md.net/transit/,,38931093,70,"48,220",189,"Hagerstown, MD-WV-PA",,"182,696","1,370",133,Y,10,,10,,
30044,3044,Westmoreland County Transit Authority,WCTA,,Active,Full Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,6/30/2016,10/31/2016,41 Bell Way,,,Greensburg,PA,15601,2301,3,http://www.westmorelandtransit.com/,1426,878026723,668,"296,066",27,"Pittsburgh, PA",,"1,733,853","1,916",905,Y,,95,95,,
30045,3045,"JAUNT, Inc.",,,Active,Full Reporter,Urban,Other Publicly-Owned or Privately Chartered Corporation,,,,6/30/2016,10/31/2016,104 Keystone Place,,,Charlottesville,VA,22902,6200,3,http://www.ridejaunt.org/,,99592768,"2,595","242,285",317,"Charlottesville, VA",,"92,359","2,673",35,Y,63,,63,,
30048,3048,Howard Transit,HT,,Active,Full Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,6/30/2016,10/31/2016,3430 Courthouse Drive,,,Ellicott City,MD,20707,,3,http://www.howardtransit.com/,6609,102547127,251,"284,952",19,"Baltimore, MD",,"2,203,663","3,073",717,Y,,42,42,,
30051,3051,Ride-On Montgomery County Transit,,,Active,Full Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,6/30/2016,10/31/2016,101 Monroe Street,5th Floor,,Rockville,MD,20850,,3,http://www.montgomerycountymd.gov/,5352,62014378,495,"971,777",8,"Washington, DC-VA-MD",,"4,586,770","3,470","1,322",Y,282,,282,,
30053,3053,Bristol Virginia Transit,BVT,,Active,Reduced Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,9/30/2016,1/31/2017,2107 Shakesville Road,,,Bristol,VA,24201,,3,http://www.bristolva.org/,1127,74914581,13,"17,835",397,"Bristol-Bristol, TN-VA",,"69,501","1,088",64,Y,4,,4,,
30054,3054,Centre Area Transportation Authority,CATA,,Active,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,6/30/2016,10/31/2016,2081 West Whitehall Road,,,State College,PA,16801,,3,http://www.catabus.com/,1445,10573665,89,"104,360",335,"State College, PA",,"87,454","3,034",29,Y,104,10,114,,
30055,3055,Shenango Valley Shuttle Service,SVSS,,Active,Full Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,6/30/2016,10/31/2016,2495 Highland Road,,,Hermitage,PA,16148,,3,http://www.mcrcog.com/,1444,87558078,173,"96,432",97,"Youngstown, OH-PA",,"387,550","1,608",241,Y,27,,27,,
30057,3057,Pennsylvania Department of Transportation,PENNDOT,,Active,Full Reporter,Urban,State Government Unit or Department of Transportation,,,,6/30/2016,10/31/2016,,,3151,Harrisburg,PA,17105,3151,3,http://www.dot.state.pa.us/,1429,192300564,"2,092","3,371,466",5,"Philadelphia, PA-NJ-DE-MD",,"5,441,567","2,746","1,981",Y,,40,40,,
30058,3058,City of Fairfax CUE Bus,CUE,,Active,Full Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,6/30/2016,10/31/2016,10455 Armstrong Street,,,Fairfax,VA,22030,,3,http://www.CueBus.org/,,74818477,6,"22,565",8,"Washington, DC-VA-MD",,"4,586,770","3,470","1,322",N,8,,8,,
30061,3061,Mid Mon Valley Transit Authority,MMVTA,,Active,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,6/30/2016,10/31/2016,1300 McKean Avenue,,,Charleroi,PA,15022,,3,http://www.mmvta.com/,5195,841303399,44,"79,666",417,"Monessen-California, PA",,"66,086","1,478",45,Y,,23,23,,
30066,3066,Weirton Transit Corporation,WTC,,Active,Reduced Reporter,Urban,Other Publicly-Owned or Privately Chartered Corporation,,,,6/30/2016,10/31/2016,200 Municipal Plaza,,,Weirton,WV,26062,,3,http://http://www.cityofweirton.com/government/weirton-transit-corporation/154/,5357,30130561,19,"19,746",389,"Weirton-Steubenville, WV-OH-PA",,"70,889","1,404",51,Y,4,,4,,
30068,3068,Fairfax Connector Bus System,Fairfax Connector,,Active,Full Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,6/30/2016,10/31/2016,4050 Legato Road,Suite 400,,Fairfax,VA,22033,2895,3,http://www.fairfaxconnector.com/,5349,74837626,407,"1,131,886",8,"Washington, DC-VA-MD",,"4,586,770","3,470","1,322",N,,226,226,,
30070,3070,Potomac and Rappahannock Transportation Commission,PRTC,,Active,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,6/30/2016,10/31/2016,14700 Potomac Mills Road,,,Woodbridge,VA,22192,6811,3,http://www.prtctransit.org/,5348,621125699,361,"454,096",8,"Washington, DC-VA-MD",,"4,586,770","3,470","1,322",Y,,532,532,,
30071,3071,City of Alexandria,DASH,,Active,Full Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,6/30/2016,10/31/2016,301 King Street,,,Alexandria,VA,22314,4526,3,http://www.alexandriava.gov/,,74853250,16,"139,966",8,"Washington, DC-VA-MD",,"4,586,770","3,470","1,322",N,66,33,99,,
30072,3072,Transit Services of Frederick County,,,Active,Full Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,6/30/2016,10/31/2016,1040 Rocky Springs Road,,,Frederick,MD,21702,,3,http://www.FrederickCountyMD.gov/transit/,,63199665,18,"68,728",230,"Frederick, MD",,"141,576","1,929",73,Y,36,,36,,
30073,3073,Virginia Railway Express,VRE,,Active,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,6/30/2016,10/31/2016,1500 King Street,Suite 202,,Alexandria,VA,22314,2730,3,http://www.vre.org/,5348,540784475,730,"2,238,365",8,"Washington, DC-VA-MD",,"4,586,770","3,470","1,322",Y,,97,97,,
30074,3074,Harford Transit,HT,,Active,Reduced Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,6/30/2016,10/31/2016,1311 Abingdon Road,,,Abingdon,MD,21009,,3,http://www.harfordcountymd.gov/213/Harford-Transit-LINK,,69402428,133,"250,290",169,"Aberdeen-Bel Air South-Bel Air North, MD",,"213,751","1,630",131,Y,26,,26,,
30075,3075,Delaware Transit Corporation,DTC,,Active,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,6/30/2016,10/31/2016,900 Public Safety Boulevard,,,Dover,DE,19901,,3,http://www.DartFirstState.com/,1396,809856008,"1,949","945,934",5,"Philadelphia, PA-NJ-DE-MD",,"5,441,567","2,746","1,981",,438,43,481,,
30076,3076,Williamsburg Area Transit Authority,WATA,,Active,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,6/30/2016,10/31/2016,7239 Pocahontas Trail,,,Williamsburg,VA,23185,2639,3,http://www.williamsburgtransport.com/,5719,109722129,144,"153,600",371,"Williamsburg, VA",,"75,689","1,354",56,Y,24,13,37,,
30077,3077,Borough of Pottstown - Pottstown Area Rapid Transit,PART,,Active,Full Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,6/30/2016,10/31/2016,100 East High Street,,,Pottstown,PA,19464,9525,3,http://www.pottstown.org/,5556,69056976,34,"51,000",287,"Pottstown, PA",,"107,682","1,366",79,Y,,6,6,,
30078,3078,Southwestern Pennsylvania Commission,SPC,,Active,Full Reporter,Urban,"MPO, COG or Other Planning Agency",,,,6/30/2016,10/31/2016,Two Chatham Center,"112 Washington Place, Suite 500",,Pittsburgh,PA,15219,3451,3,http://www.spcregion.org/,1480,80720055,833,"1,614,197",27,"Pittsburgh, PA",,"1,733,853","1,916",905,,,57,57,,
30079,3079,Fredericksburg Regional Transit,FRED,,Active,Reduced Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,6/30/2016,10/31/2016,1400 Jefferson Davis Hwy,,,Fredericksburg,VA,22401,,3,http://www.rideFRED.com/,2183,83048199,242,"113,716",231,"Fredericksburg, VA",,"141,238","1,815",78,,21,,21,,
30080,3080,Arlington Transit - Arlington County,ART,,Active,Full Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,6/30/2016,10/31/2016,2100 Clarendon Boulevard, Suite 900,,Arlington,VA,22201,5404,3,http://www.arlingtontransit.com/,6673,56285042,26,"220,400",8,"Washington, DC-VA-MD",,"4,586,770","3,470","1,322",N,,85,85,,
30081,3081,Loudoun County Commuter Bus Service - Office of Transportation Services,LC Transit,,Active,Full Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,6/30/2016,10/31/2016,"1 Harrison Street, S.E.",MSC#69,,Leesburg,VA,20175,,3,http://www.loudoun.gov/bus/,,831900704,520,"373,694",8,"Washington, DC-VA-MD",,"4,586,770","3,470","1,322",N,,92,92,,
30083,3083,Transportation District Commission of Hampton Roads,HRT,Hampton Roads Transit,Active,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,6/30/2016,10/31/2016,3400 Victoria Boulevard,,,Hampton,VA,23661,,3,http://www.gohrt.com/,1456,192487965,431,"1,143,932",34,"Virginia Beach, VA",,"1,439,666","2,793",515,Y,242,127,369,,
30085,3085,Prince George's County Transit,TheBus,,Active,Full Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,6/30/2016,10/31/2016,9400 Peppercorn Place,Suite #320,,Largo,MD,20774,,3,http://www.princegeorgescountymd.gov/,5350,58592189,487,"909,535",8,"Washington, DC-VA-MD",,"4,586,770","3,470","1,322",N,52,76,128,,
30087,3087,Fayette Area Coordinated Transportation,FACT,,Active,Full Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,6/30/2016,10/31/2016,825 Airport Road,,,Lemont Furnace,PA,15456,,3,http://www.factbus.com/,3214,86680543,812,"136,606",487,"Uniontown-Connellsville, PA",,"51,370","1,323",39,Y,27,5,32,,
30088,3088,"County Commissioners of Charles County, MD",DCS  VanGO,,Active,Full Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,6/30/2016,10/31/2016,8190 Port Tobacco Road,,,Port Tobacco,MD,20677,,3,http://www.go-vango.com/,,80570500,458,"156,118",283,"Waldorf, MD",,"109,919","1,617",68,Y,,27,27,,
30089,3089,Monongalia County Urban Mass Transit Authority,MLTA,Mountain Line Transit Authority,Active,Reduced Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,6/30/2016,10/31/2016,420 DuPont Road,,,Morgantown,WV,26501,,3,http://www.busride.org/,6105,90827650,293,"91,576",393,"Morgantown, WV",,"70,350","1,876",37,Y,22,,22,,
30090,3090,Eastern Panhandle Transit Authority,EPTA,,Active,Reduced Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,6/30/2016,10/31/2016,446 Novak Drive,,,Martinsburg,WV,25405,8467,3,http://www.pantran.com/,6280,80549470,527,"166,210",189,"Hagerstown, MD-WV-PA",,"182,696","1,370",133,Y,23,,23,,
30091,3091,Blacksburg Transit,BT,,Active,Full Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,6/30/2016,10/31/2016,2800 Commerce Street,,,Blacksburg,VA,24060,,3,http://www.btransit.org/,1451,10071975,34,"66,158",328,"Blacksburg, VA",,"88,542","1,729",51,Y,42,,42,,
30092,3092,Carroll County Department of Public Works,CTS,Carroll Transit System Operated By Ride With Us,Active,Reduced Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,6/30/2016,10/31/2016,225 North Center Street,,,Westminster,MD,21157,,3,http://carrolltransitsystem.com/,,146064998,452,"167,627",383,"Westminster-Eldersburg, MD",,"72,714","1,260",58,,,30,30,,
30093,3093,City of Hazleton -- Hazleton Public Transit,HPT,,Active,Reduced Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,6/30/2016,10/31/2016,40 North Church St.,,,Hazleton,PA,18201,,3,http://www.hazletoncity.org/,6236,75306464,47,"57,482",460,"Hazleton, PA",,"56,827","1,820",31,Y,,12,12,,
30094,3094,City of Harrisonburg Department of Public Transportation,Harrisonburg Transit,,Active,Full Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,6/30/2016,10/31/2016,475 East Washington Street,,,Harrisonburg,VA,22802,,3,http://www.hdpt.com/,1454,70423694,17,"54,112",413,"Harrisonburg, VA",,"66,784","2,052",33,,39,,39,,
30095,3095,County of Lebanon Transit Authority,Lebanon Transit,,Active,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,6/30/2016,10/31/2016,200 Willow Street,,,Lebanon,PA,17046,,3,http://www.lebanontransit.org/,5649,961426236,362,"133,568",366,"Lebanon, PA",,"77,086","1,710",45,Y,24,,24,,
30096,3096,The Tri-County Council for the Lower Eastern Shore of Maryland,Shore Transit,,Active,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,6/30/2016,10/31/2016,31901 Tri-County Way,Suite 133,,Salisbury,MD,21804,,3,http://www.shoretransit.org/,,147767433,"1,031","169,500",307,"Salisbury, MD-DE",,"98,081","1,387",71,Y,38,6,44,,
30099,3099,City of Winchester,WinTran,,Active,Reduced Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,6/30/2016,10/31/2016,301 East Cork Street,,,Winchester,VA,22601,,3,http://www.winchesterva.gov/,3286,69380574,9,"27,216",398,"Winchester, VA",,"69,449","1,868",37,Y,7,,7,,
30102,3102,Martz Trailways,,,Active,Full Reporter,Urban,Private-For-Profit Corporation,,,,12/31/2016,4/30/2017,239 Old River Road,,,Wilkes Barre,PA,18702,,3,http://www.martztrailways.com/,,7917792,"2,315","813,888",1,"New York-Newark, NY-NJ-CT",,"18,351,295","5,319","3,450",N,41,,41,,
30103,3103,"Martz Group, National Coach Works of Virginia",NCW,,Active,Full Reporter,Urban,Private-For-Profit Corporation,,,,12/31/2016,4/30/2017,302 Central Rd,,,Fredericksburg,VA,22401,,3,http://www.martzgroupva.com/commuters.asp/,,121818132,682,"264,585",8,"Washington, DC-VA-MD",,"4,586,770","3,470","1,322",N,7,,7,,
30104,3104,Metropolitan Washington Airports Authority,MWAA,,Active,Building Reporter,Urban,Other,,,,12/31/2016,4/30/2017,1 Aviation Circle,,,Washington,DC,20001,6000,3,http://www.mwaa.com/,6603,116203001,,,8,"Washington, DC-VA-MD",,"4,586,770","3,470","1,322",N,,,,,
30105,3105,Northern Virginia Transportation Commission,NVTC,,Active,Planning Reporter,Urban,"MPO, COG or Other Planning Agency",,,,6/30/2016,10/31/2016,2300 Wilson Boulevard,Suite 620,,Arlington,VA,22201,,3,http://www.thinkoutsidethecar.org/,2049,77808087,,,8,"Washington, DC-VA-MD",,"4,586,770","3,470","1,322",,,,,,
30106,3106,National Capital Region Transportation Planning Board,MWCOG/TPB,,Active,Reduced Reporter,Urban,"MPO, COG or Other Planning Agency",,,,6/30/2016,10/31/2016,777 North Capitol Street NE,300,,Washington,DC,20002,,3,http://www.mwcog.org/,1473,72663115,"4,720","7,367,794",8,"Washington, DC-VA-MD",,"4,586,770","3,470","1,322",N,,20,20,,
30107,3107,West Virginia University - Morgantown Personal Rapid Transit,,,Active,Full Reporter,Urban,University,,,,6/30/2016,10/31/2016,99 8th Street,,6565,Morgantown,WV,26506,6565,3,http://transportation.wvu.edu/prt/,1468,191510239,12,"60,037",393,"Morgantown, WV",,"70,350","1,876",37,N,48,,48,,
30108,3108,Cecil County Government - SSCT,,,Active,Reduced Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,6/30/2016,10/31/2016,200 Chesapeake Blvd,Suite 2500,21921,Elkton,MD,21921,,3,http://www.ceciltransit.com/,,69375921,346,"102,383",5,"Philadelphia, PA-NJ-DE-MD",,"5,441,567","2,746","1,981",Y,11,,11,,
30109,3109,St. Mary's Transit System -Dept. of Public Works and Transit,STS,,Active,Reduced Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,6/30/2016,10/31/2016,44829 St. Andrews Church Rd,,409,California ,MD,20619,,3,http://www.stmarysmd.com/,,24708633,41,"48,284",451,"Lexington Park-California-Chesapeake Ranch Estates, MD",,"58,875","1,179",50,Y,17,,17,,
30111,3111,Washington County Transportation Authority,,Freedom Transit,Active,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,6/30/2016,10/31/2016,50 E Chestnut Street,,,Washington,PA,15301,,3,www.freedom-transit.org,,830208075,861,"207,820",27,"Pittsburgh, PA",,"1,733,853","1,916",905,N,,68,68,,
30112,3112,DDOT - Progressive Transportation Services Administration,,,Active,Full Reporter,Urban,State Government Unit or Department of Transportation,,,,9/30/2016,1/31/2017,55 M Street Southeast,Suite 500,,Washington,DC,20003,3522,3,http://ddot.dc.gov,1397,3880940,24,"317,779",8,"Washington, DC-VA-MD",,"4,586,770","3,470","1,322",N,,57,57,,
30129,3R03-018,Anne Arundel County,,,Active,Full Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,6/30/2016,10/31/2016,2664 Riva Road MS 6403,,,Annapolis,MD,21401,,3,www.co.anne-arundel.md.us,,64875974,398,"564,000",19,"Baltimore, MD",,"2,203,663","3,073",717,,34,5,39,,
30131,3R03-005,"Board of County Commissioners of Calvert County, Maryland",,,Active,Reduced Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,6/30/2016,10/31/2016,175 Main Street,,,Prince Frederick,MD,20678,,3,www.co.cal.md.us,,37722758,345,"90,484",451,"Lexington Park-California-Chesapeake Ranch Estates, MD",,"58,875","1,179",50,,13,,13,,
30137,3R04-012,Monroe County Transportation Authority,MCTA,,Active,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,6/30/2016,10/31/2016,,,339,Scotrun,PA,18355,,3,www.gomcta.com,,168463441,610,"166,314",472,"East Stroudsburg, PA-NJ",,"54,316","1,043",52,Y,37,5,42,,
30167,3R04-002,County of Carbon,CCCT,Carbon County Community Transit,Active,Reduced Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,12/31/2016,4/30/2017,Courthouse Annex,,,Jim Thorpe,PA,18229,,3,www.carbontransit.com,,28788172,340,"65,249",61,"Allentown, PA-NJ",,"664,651","1,919",346,,,19,19,,
30198,,Suffolk Transit,,,Active,Reduced Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,6/30/2016,10/31/2016,442 W. Washington Street,,1858,Suffolk,VA,23439,,3,http://www.suffolkva.us/pub_wks/transit/,0,66024845,73,"87,677",34,"Virginia Beach, VA",,"1,439,666","2,793",515,,,8,8,,
30199,,New River Transit Authority,NRT,,Active,Reduced Reporter,Urban,Independent Public Agency or Authority of Transit Service,,,,12/31/2016,4/30/2017,360 Prince Street,,,Beckley,WV,25801,,3,http://www.newrivertransitauthority.org/,0,79451646,61,"62,637",430,"Beckley, WV",,"64,022","1,050",61,,,17,17,,
30200,,City of Radford,,,Active,Reduced Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,6/30/2016,10/31/2016,10 Robertson Street,,,Radford,VA,24141,,3,www.radfordva.gov,7261,81762312,10,"18,368",328,"Blacksburg, VA",,"88,542","1,729",51,Y,20,,20,,
30201,,Baltimore City Department of Transportation,,,Active,Full Reporter,Urban,"City, County or Local Government Unit or Department of Transportation",,,,6/30/2016,10/31/2016,417 E Fayette Street,5th Floor,,Baltimore,MD,21201,,3,transportation.baltimorecity.gov/,,52340973,81,"621,849",19,"Baltimore, MD",,"2,203,663","3,073",717,,,23,23,,
