ntdid,Legacy NTD ID,name,Reporter Acronym,Doing Business As,Reporter Status,reporter,mode,Organization Type,Reported By NTD ID,Reported by Name,Subrecipient Type,FY End Date,Original Due Date,Address Line 1,Address Line 2,city,state,zipcode,zipext,P.O. Box,region,URL,FTA Recipient ID,Duns Number,Service Area Sq Miles,Service Area Pop,Primary UZA,UZA Name,Tribal Area Name,Population,Density,Sq Miles,Required Reporter,VOMS DO,VOMS PT,Total VOMS,Volunteer Drivers,Personal Vehicles
20216,2216,Orange County,OCNY,,Active,Reduced Reporter,Reduced Reporter,"City, County or Local Government Unit or Department of Transportation", ,,,12/31/2015,4/30/2016,Dept. of Planning,124 Main Street,Goshen,NY,10924,,,2,http://www.transitorange.info/,3152,12981593,47,"91,614",89,"Poughkeepsie-Newburgh, NY-NJ",,"423,566","1,295",327,N,,7,7,,
20217,2217,"Hampton Jitney, Inc.",,,Active,Full Reporter,Full Reporter,Private-For-Profit Corporation, ,,,12/31/2015,4/30/2016,395 County Road 39A,,Southampton,NY,11968,,,2,www.hamptonjitney.com,,82785734,"1,215","9,908,805",1,"New York-Newark, NY-NJ-CT",,"18,351,295","5,319","3,450",N,79,,79,,
20219,2219,A&C Bus Corporation & Montgomery & Westside Owners Association,,,Active,Reduced Reporter,Reduced Reporter,Private-For-Profit Corporation, ,,,12/31/2015,4/30/2016,430 Danforth Avenue,,Jersey City,NJ,7305,,,2,http://www.acbuscorp.com/,0,65797508,21,"247,597",1,"New York-Newark, NY-NJ-CT",,"18,351,295","5,319","3,450",Y,28,,28,,
20220,2220,Broadway Bus Corporation,,,Active,Reduced Reporter,Reduced Reporter,Private-For-Profit Corporation, ,,,12/31/2015,4/30/2016,1329 Kennedy Blvd.,,Bayonne,NJ,7002,,,2,,0,96865258,11,"63,024",1,"New York-Newark, NY-NJ-CT",,"18,351,295","5,319","3,450",Y,10,,10,,
20221,2221,Carefree Bus Services,,,Active,Reduced Reporter,Reduced Reporter,Private-For-Profit Corporation, ,,,12/31/2015,4/30/2016,101 Industry St.,,East Clifton,NJ,7012,,,2,www.carefreebus.com,,0,37,"881,062",1,"New York-Newark, NY-NJ-CT",,"18,351,295","5,319","3,450",Y,2,,2,,
20222,2222,"Saddle River Trail, Inc.",STR,,Active,Reduced Reporter,Reduced Reporter,Private-For-Profit Corporation, ,,,12/31/2015,4/30/2016,480 Main Ave.,Suite 8,Wallington,NJ,7057,,,2,http://www.strbus.com/,0,,68,"910,298",1,"New York-Newark, NY-NJ-CT",,"18,351,295","5,319","3,450",Y,7,,7,,
22929,2T02,Seneca Nation of Indians,SNI,,Active,Reduced Reporter,Tribe,Tribe, ,,,9/30/2015,1/31/2016,12837 Route 438,,Irving,NY,14081,9330,,2,http://www.sni.org/,,160786768,114,"14,827",0,New York Non-UZA,"Cattaraugus Reservation, NY; Allegany Reservation, NY; Oil Springs Reservation, NY",0,0,0,,,2,2,,
22930,,New York City Economic Development Corporation,NYCEDC,,Active,Full Reporter,Full Reporter,Private-Non-Profit Corporation, ,,,6/30/2015,10/31/2015,110 William Street,,New York,NY,10038,,,2,www.nycedc.com,,73246910,6,"154,841",1,"New York-Newark, NY-NJ-CT",,"18,351,295","5,319","3,450",N,,3,3,,
30001,3001,Kanawha Valley Regional Transportation Authority,KVRTA,,Active,Full Reporter,Full Reporter,Independent Public Agency or Authority of Transit Service, ,,,6/30/2015,10/31/2015,1550 4TH AVENUE,,Charleston,WV,25324,,1188,3,http://www.rideonkrt.com/,1464,47137484,902,"192,315",214,"Charleston, WV",,"153,199","1,560",98,Y,58,,58,,
30002,3002,The Tri-State Transit Authority,TTA,,Active,Full Reporter,Full Reporter,Independent Public Agency or Authority of Transit Service, ,,,6/30/2015,10/31/2015,"1120 Virginia Avenue, West",,Huntington,WV,25779,,7965,3,http://www.tta-wv.com/,1467,59851329,92,"144,339",178,"Huntington, WV-KY-OH",,"202,637","1,555",130,Y,37,,37,,
30003,3003,Mid-Ohio Valley Transit Authority,Easy Rider,,Active,Reduced Reporter,Reduced Reporter,Independent Public Agency or Authority of Transit Service, ,,,6/30/2015,10/31/2015,520 Juliana Street,,Parkersburg,WV,26101,5301,,3,http://www.easyriderbus.com/,1469,82956509,14,"39,587",411,"Parkersburg, WV-OH",,"67,229","1,586",42,Y,16,,16,,
30006,3006,Greater Richmond Transit Company,GRTC Transit System,,Active,Full Reporter,Full Reporter,Other Publicly-Owned or Privately Chartered Corporation, ,,,6/30/2015,10/31/2015,301 East Belt Boulevard,,Richmond,VA,23224,,,3,http://www.ridegrtc.com/,1458,74746470,227,"449,572",45,"Richmond, VA",,"953,556","1,938",492,Y,118,210,328,,
30007,3007,Greater Roanoke Transit Company,Valley Metro,,Active,Full Reporter,Full Reporter,Other Publicly-Owned or Privately Chartered Corporation, ,,,6/30/2015,10/31/2015,"1108 Campbell Avenue, S.E.",,Roanoke,VA,24032,3247,13247,3,http://valleymetro.com/,1460,139292544,43,"97,032",172,"Roanoke, VA",,"210,111","1,692",124,Y,35,17,52,,
30008,3008,Greater Lynchburg Transit Company,GLTC,,Active,Full Reporter,Full Reporter,Independent Public Agency or Authority of Transit Service, ,,,6/30/2015,10/31/2015,1301 Kemper Street,,Lynchburg,VA,24505,797,797,3,http://www.gltconline.com/,1455,8955429,72,"80,846",271,"Lynchburg, VA",,"116,636","1,313",89,Y,37,,37,,
30009,3009,Petersburg Area Transit,PAT,,Active,Reduced Reporter,Reduced Reporter,"City, County or Local Government Unit or Department of Transportation", ,,,6/30/2015,10/31/2015,100 W Washington Street,,Petersburg,VA,23803,,,3,http://www.petersburgva.gov/,1457,66004375,7,"72,422",45,"Richmond, VA",,"953,556","1,938",492,Y,16,,16,,
30010,3010,Lehigh and Northampton Transportation Authority,LANTA,,Active,Full Reporter,Full Reporter,Independent Public Agency or Authority of Transit Service, ,,,6/30/2015,10/31/2015,1060 Lehigh Street,,Allentown,PA,18103,,,3,http://www.lantabus.com/,1419,68571777,230,"485,712",61,"Allentown, PA-NJ",,"664,651","1,919",346,Y,70,95,165,,
30011,3011,Altoona Metro Transit,AMTRAN,AMTRAN,Active,Full Reporter,Full Reporter,Independent Public Agency or Authority of Transit Service, ,,,6/30/2015,10/31/2015,3301 Fifth Avenue,,Altoona,PA,16602,1801,,3,http://www.amtran.org/,1420,59297549,25,"69,608",359,"Altoona, PA",,"79,930","2,138",37,Y,22,12,34,,
30012,3012,Cambria County Transit Authority,CamTran,,Active,Full Reporter,Full Reporter,Independent Public Agency or Authority of Transit Service, ,,,6/30/2015,10/31/2015,502 Maple Avenue,,Johnstown,PA,15901,,,3,http://www.camtranbus.com/,1431,83959171,60,"80,508",400,"Johnstown, PA",,"69,014","1,787",39,Y,54,,54,,
30013,3013,Erie Metropolitan Transit Authority,the e,,Active,Full Reporter,Full Reporter,Independent Public Agency or Authority of Transit Service, ,,,6/30/2015,10/31/2015,127 East 14th Street,,Erie,PA,16503,1062,,3,http://www.ride-the-e.com/,1425,77774289,77,"189,872",183,"Erie, PA",,"196,611","2,391",82,Y,116,,116,,
30014,3014,Cumberland Dauphin-Harrisburg Transit Authority,CAT,Capital Area Transit,Active,Full Reporter,Full Reporter,Independent Public Agency or Authority of Transit Service, ,,,6/30/2015,10/31/2015,901 North Cameron Street,,Harrisburg,PA,17101,,,3,http://www.cattransit.com/,1427,71195879,137,"503,506",86,"Harrisburg, PA",,"444,474","1,712",260,Y,95,18,113,,
30015,3015,Luzerne County Transportation Authority,LCTA,,Active,Full Reporter,Full Reporter,Independent Public Agency or Authority of Transit Service, ,,,6/30/2015,10/31/2015,315 Northampton Street,,Kingston,PA,18704,5489,,3,http://www.lctabus.com/,1432,69594646,56,"295,020",99,"Scranton, PA",,"381,502","2,234",171,Y,77,,77,,
30018,3018,Red Rose Transit Authority,RRTA,,Active,Full Reporter,Full Reporter,Independent Public Agency or Authority of Transit Service, ,,,6/30/2015,10/31/2015,45 Erick Road,,Lancaster,PA,17601,,,3,http://www.redrosetransit.com/,1434,10584282,952,"420,920",91,"Lancaster, PA",,"402,004","1,624",248,Y,33,62,95,,
30019,3019,Southeastern Pennsylvania Transportation Authority,SEPTA,,Active,Full Reporter,Full Reporter,Independent Public Agency or Authority of Transit Service, ,,,6/30/2015,10/31/2015,1234 Market Street,,Philadelphia,PA,19107,3780,,3,http://www.septa.org/,1947,44543841,839,"3,797,325",5,"Philadelphia, PA-NJ-DE-MD",,"5,441,567","2,746","1,981",Y,"1,952",388,"2,340",,
30022,3022,Port Authority of Allegheny County,Port Authority,,Active,Full Reporter,Full Reporter,Independent Public Agency or Authority of Transit Service, ,,,6/30/2015,10/31/2015,345 Sixth Avenue,3rd Floor,Pittsburgh,PA,15222,2527,,3,http://www.portauthority.org/,1441,72158041,775,"1,415,244",27,"Pittsburgh, PA",,"1,733,853","1,916",905,Y,633,279,912,,
30023,3023,Beaver County Transit Authority,BCTA,,Active,Full Reporter,Full Reporter,Independent Public Agency or Authority of Transit Service, ,,,6/30/2015,10/31/2015,200 West Washington Street,,Rochester,PA,15074,2235,,3,http://www.bcta.com/,1422,153757042,440,"170,539",27,"Pittsburgh, PA",,"1,733,853","1,916",905,Y,38,,38,,
30024,3024,Berks Area Regional Transportation Authority,BARTA,,Active,Full Reporter,Full Reporter,Independent Public Agency or Authority of Transit Service, ,,,6/30/2015,10/31/2015,1700 North 11th Street,,Reading,PA,19604,1599,,3,http://www.bartabus.com/,1442,63881858,864,"411,442",140,"Reading, PA",,"266,254","2,564",104,Y,78,21,99,,
30025,3025,County of Lackawanna Transit System,COLTS,,Active,Full Reporter,Full Reporter,Independent Public Agency or Authority of Transit Service, ,,,6/30/2015,10/31/2015,800 North South Road,,Scranton,PA,18504,1410,,3,http://www.coltsbus.com/,1443,155883184,170,"260,348",99,"Scranton, PA",,"381,502","2,234",171,Y,55,7,62,,
30026,3026,Williamsport Bureau of Transportation,RVT,,Active,Full Reporter,Full Reporter,"City, County or Local Government Unit or Department of Transportation", ,,,6/30/2015,10/31/2015,1500 West Third Street,,Williamsport,PA,17701,,,3,http://www.rideRVT.com/,1446,796356863,92,"69,764",462,"Williamsport, PA",,"56,142","2,119",27,Y,24,2,26,,
30027,3027,York County Transportation Authority,rabbittransit,,Active,Full Reporter,Full Reporter,Independent Public Agency or Authority of Transit Service, ,,,6/30/2015,10/31/2015,1230 Roosevelt Avenue,,York,PA,17404,,,3,http://www.rabbittransit.org/,1447,82439001,911,"381,751",158,"York, PA",,"232,045","1,755",132,Y,113,22,135,,
30030,3030,Washington Metropolitan Area Transit Authority,WMATA,,Active,Full Reporter,Full Reporter,Independent Public Agency or Authority of Transit Service, ,,,6/30/2015,10/31/2015,"600 Fifth Street, N.W.",,Washington,DC,20001,,,3,http://www.WMATA.com/,1398,520847040,950,"3,719,567",8,"Washington, DC-VA-MD",,"4,586,770","3,470","1,322",Y,"2,254",946,"3,200",,
30034,3034,Maryland Transit Administration,MTA,,Active,Full Reporter,Full Reporter,State Government Unit or Department of Transportation, ,,,6/30/2015,10/31/2015,6 St. Paul Street,,Baltimore,MD,21202,1614,,3,http://www.mta.maryland.gov/,1401,615962909,"2,560","7,811,145",19,"Baltimore, MD",,"2,203,663","3,073",717,Y,712,779,"1,491",,
30035,3035,Ohio Valley Regional Transportation Authority,OVRTA / EORTA,,Active,Full Reporter,Full Reporter,Independent Public Agency or Authority of Transit Service, ,,,9/30/2015,1/31/2016,21 South Huron Street,,Wheeling,WV,26003,,,3,http://www.ovrta.org/,1470,87571733,27,"57,416",353,"Wheeling, WV-OH",,"81,249","1,728",47,Y,16,,16,,
30036,3036,Charlottesville Area Transit,CAT,,Active,Reduced Reporter,Reduced Reporter,"City, County or Local Government Unit or Department of Transportation", ,,,6/30/2015,10/31/2015,1545 Avon Street Extended,,Charlottesville,VA,22902,,,3,http://www.catchthecat.org/,1448,21351726,38,"85,755",317,"Charlottesville, VA",,"92,359","2,673",35,Y,24,,24,,
30040,3040,Annapolis Department of Transportation,Annapolis Transit,,Active,Reduced Reporter,Reduced Reporter,"City, County or Local Government Unit or Department of Transportation", ,,,6/30/2015,10/31/2015,308 Chinquapin Round Road,,Annapolis,MD,21401,,,3,http://www.annapolis.gov/government/city-departments/transportation/,,74922246,24,"130,600",19,"Baltimore, MD",,"2,203,663","3,073",717,Y,15,,15,,
30041,3041,Allegany County Transit,ACT,,Active,Reduced Reporter,Reduced Reporter,"City, County or Local Government Unit or Department of Transportation", ,,,6/30/2015,10/31/2015,1000 Lafayette Avenue,,Cumberland,MD,21502,,,3,http://gov.allconet.org/ACT/,,64891476,131,"68,780",484,"Cumberland, MD-WV-PA",,"51,899","1,591",33,Y,14,,14,,
30042,3042,Washington County Transit,County Commuter,,Active,Reduced Reporter,Reduced Reporter,"City, County or Local Government Unit or Department of Transportation", ,,,6/30/2015,10/31/2015,1000 West Washington Street,,Hagerstown,MD,21740,5212,,3,http://www.washco-md.net/transit/,,38931093,70,"48,220",189,"Hagerstown, MD-WV-PA",,"182,696","1,370",133,Y,10,,10,,
30044,3044,Westmoreland County Transit Authority,WCTA,,Active,Full Reporter,Full Reporter,"City, County or Local Government Unit or Department of Transportation", ,,,6/30/2015,10/31/2015,41 Bell Way,,Greensburg,PA,15601,2301,,3,http://www.westmorelandtransit.com/,1426,878026723,668,"296,066",27,"Pittsburgh, PA",,"1,733,853","1,916",905,Y,,103,103,,
30045,3045,"JAUNT, Inc.",,,Active,Full Reporter,Full Reporter,Other Publicly-Owned or Privately Chartered Corporation, ,,,6/30/2015,10/31/2015,104 Keystone Place,,Charlottesville,VA,22902,6200,,3,http://www.ridejaunt.org/,,99592768,"2,595","242,285",317,"Charlottesville, VA",,"92,359","2,673",35,Y,60,,60,,
30048,3048,Howard Transit,HT,,Active,Full Reporter,Full Reporter,"City, County or Local Government Unit or Department of Transportation", ,,,6/30/2015,10/31/2015,3430 Courthouse Drive,,Ellicott City,MD,20707,,,3,http://www.howardtransit.com/,6609,102547127,251,"284,952",19,"Baltimore, MD",,"2,203,663","3,073",717,Y,,42,42,,
30051,3051,Ride-On Montgomery County Transit,,,Active,Full Reporter,Full Reporter,"City, County or Local Government Unit or Department of Transportation", ,,,6/30/2015,10/31/2015,101 Monroe Street,5th Floor,Rockville,MD,20850,,,3,http://www.montgomerycountymd.gov/,5352,62014378,495,"971,777",8,"Washington, DC-VA-MD",,"4,586,770","3,470","1,322",Y,282,,282,,
30053,3053,Bristol Virginia Transit,BVT,,Active,Reduced Reporter,Reduced Reporter,"City, County or Local Government Unit or Department of Transportation", ,,,9/30/2015,1/31/2016,2107 Shakesville Road,,Bristol,VA,24201,,,3,http://www.bristolva.org/,1127,74914581,13,"17,835",397,"Bristol-Bristol, TN-VA",,"69,501","1,088",64,Y,4,,4,,
30054,3054,Centre Area Transportation Authority,CATA,,Active,Full Reporter,Full Reporter,Independent Public Agency or Authority of Transit Service, ,,,6/30/2015,10/31/2015,2081 West Whitehall Road,,State College,PA,16801,,,3,http://www.catabus.com/,1445,10573665,89,"104,360",335,"State College, PA",,"87,454","3,034",29,Y,104,9,113,,
30055,3055,Shenango Valley Shuttle Service,SVSS,,Active,Full Reporter,Full Reporter,"City, County or Local Government Unit or Department of Transportation", ,,,6/30/2015,10/31/2015,2495 Highland Road,,Hermitage,PA,16148,,,3,http://www.mcrcog.com/,1444,87558078,241,"116,638",97,"Youngstown, OH-PA",,"387,550","1,608",241,Y,27,,27,,
30057,3057,Pennsylvania Department of Transportation,PENNDOT,,Active,Full Reporter,Full Reporter,State Government Unit or Department of Transportation, ,,,6/30/2015,10/31/2015,,,Harrisburg,PA,17105,3151,3151,3,http://www.dot.state.pa.us/,1429,192300564,"2,092","6,695,106",5,"Philadelphia, PA-NJ-DE-MD",,"5,441,567","2,746","1,981",Y,,40,40,,
30058,3058,City of Fairfax CUE Bus,CUE,,Active,Full Reporter,Full Reporter,"City, County or Local Government Unit or Department of Transportation", ,,,6/30/2015,10/31/2015,10455 Armstrong Street,,Fairfax,VA,22030,,,3,http://www.CueBus.org/,,74818477,6,"22,565",8,"Washington, DC-VA-MD",,"4,586,770","3,470","1,322",N,8,,8,,
30061,3061,Mid Mon Valley Transit Authority,MMVTA,,Active,Full Reporter,Full Reporter,Independent Public Agency or Authority of Transit Service, ,,,6/30/2015,10/31/2015,1300 McKean Avenue,,Charleroi,PA,15022,,,3,http://www.mmvta.com/,5195,841303399,44,"66,086",417,"Monessen-California, PA",,"66,086","1,478",45,Y,,19,19,,
30066,3066,Weirton Transit Corporation,WTC,,Active,Reduced Reporter,Reduced Reporter,Other Publicly-Owned or Privately Chartered Corporation, ,,,6/30/2015,10/31/2015,200 Municipal Plaza,,Weirton,WV,26062,,,3,http://http://www.cityofweirton.com/government/weirton-transit-corporation/154/,5357,30130561,19,"19,746",389,"Weirton-Steubenville, WV-OH-PA",,"70,889","1,404",51,Y,4,,4,,
30068,3068,Fairfax Connector Bus System,Fairfax Connector,,Active,Full Reporter,Full Reporter,"City, County or Local Government Unit or Department of Transportation", ,,,6/30/2015,10/31/2015,4050 Legato Road,Suite 400,Fairfax,VA,22033,2895,,3,http://www.fairfaxconnector.com/,5349,74837626,407,"1,125,385",8,"Washington, DC-VA-MD",,"4,586,770","3,470","1,322",N,,221,221,,
30070,3070,Potomac and Rappahannock Transportation Commission,PRTC,,Active,Full Reporter,Full Reporter,Independent Public Agency or Authority of Transit Service, ,,,6/30/2015,10/31/2015,14700 Potomac Mills Road,,Woodbridge,VA,22192,6811,,3,http://www.prtctransit.org/,5348,621125699,361,"454,096",8,"Washington, DC-VA-MD",,"4,586,770","3,470","1,322",Y,,473,473,,
30071,3071,City of Alexandria ,DASH,,Active,Full Reporter,Full Reporter,"City, County or Local Government Unit or Department of Transportation", ,,,6/30/2015,10/31/2015,301 King Street,,Alexandria,VA,22314,4526,,3,http://www.alexandriava.gov/,,74853250,16,"139,966",8,"Washington, DC-VA-MD",,"4,586,770","3,470","1,322",N,64,33,97,,
30072,3072,Transit Services of Frederick County,,,Active,Full Reporter,Full Reporter,"City, County or Local Government Unit or Department of Transportation", ,,,6/30/2015,10/31/2015,1040 Rocky Springs Road,,Frederick,MD,21702,,,3,http://www.FrederickCountyMD.gov/transit/,,63199665,18,"68,369",230,"Frederick, MD",,"141,576","1,929",73,Y,34,,34,,
30073,3073,Virginia Railway Express,VRE,,Active,Full Reporter,Full Reporter,Independent Public Agency or Authority of Transit Service, ,,,6/30/2015,10/31/2015,1500 King Street,Suite 202,Alexandria,VA,22314,2730,,3,http://www.vre.org/,5348,540784475,730,"2,238,365",8,"Washington, DC-VA-MD",,"4,586,770","3,470","1,322",Y,,90,90,,
30074,3074,Harford Transit,HT,,Active,Reduced Reporter,Reduced Reporter,"City, County or Local Government Unit or Department of Transportation", ,,,6/30/2015,10/31/2015,1311 Abingdon Road,,Abingdon,MD,21009,,,3,http://www.harfordcountymd.gov/213/Harford-Transit-LINK,,69402428,133,"237,644",169,"Aberdeen-Bel Air South-Bel Air North, MD",,"213,751","1,630",131,Y,26,,26,,
30075,3075,Delaware Transit Corporation,DTC,,Active,Full Reporter,Full Reporter,Independent Public Agency or Authority of Transit Service, ,,,6/30/2015,10/31/2015,900 Public Safety Boulevard,,Dover,DE,19901,,,3,http://www.DartFirstState.com/,1396,809856008,"1,949","935,614",5,"Philadelphia, PA-NJ-DE-MD",,"5,441,567","2,746","1,981",Y,413,32,445,,
30076,3076,Williamsburg Area Transit Authority,WATA,,Active,Full Reporter,Full Reporter,Independent Public Agency or Authority of Transit Service, ,,,6/30/2015,10/31/2015,7239 Pocahontas Trail,,Williamsburg,VA,23185,2639,,3,http://www.williamsburgtransport.com/,5719,109722129,144,"153,600",371,"Williamsburg, VA",,"75,689","1,354",56,Y,24,13,37,,
30077,3077,Borough of Pottstown - Pottstown Area Rapid Transit,PART,,Active,Full Reporter,Full Reporter,"City, County or Local Government Unit or Department of Transportation", ,,,6/30/2015,10/31/2015,100 East High Street,,Pottstown,PA,19464,9525,,3,http://www.pottstown.org/,5556,69056976,34,"51,000",287,"Pottstown, PA",,"107,682","1,366",79,Y,,6,6,,
30078,3078,Southwestern Pennsylvania Commission,SPC,,Active,Full Reporter,Full Reporter,"MPO, COG or Other Planning Agency", ,,,6/30/2015,10/31/2015,Two Chatham Center,"112 Washington Place, Suite 500",Pittsburgh,PA,15219,3451,,3,http://www.spcregion.org/,1480,80720055,833,"1,614,197",27,"Pittsburgh, PA",,"1,733,853","1,916",905,Y,,60,60,,
30079,3079,Fredericksburg Regional Transit,FRED,,Active,Reduced Reporter,Reduced Reporter,"City, County or Local Government Unit or Department of Transportation", ,,,6/30/2015,10/31/2015,1400 Jefferson Davis Hwy,,Fredericksburg,VA,22401,,,3,http://www.rideFRED.com/,2183,83048199,242,"113,716",231,"Fredericksburg, VA",,"141,238","1,815",78,Y,20,,20,,
30080,3080,Arlington Transit - Arlington County,ART,,Active,Full Reporter,Full Reporter,"City, County or Local Government Unit or Department of Transportation", ,,,6/30/2015,10/31/2015,2100 Clarendon Boulevard, Suite 900,Arlington,VA,22201,5404,,3,http://www.arlingtontransit.com/,6673,56285042,26,"216,700",8,"Washington, DC-VA-MD",,"4,586,770","3,470","1,322",N,,66,66,,
30081,3081,Loudoun County Commuter Bus Service - Office of Transportation Services,LC Transit,,Active,Full Reporter,Full Reporter,"City, County or Local Government Unit or Department of Transportation", ,,,6/30/2015,10/31/2015,"1 Harrison Street, S.E.",MSC#69,Leesburg,VA,20175,,,3,http://www.loudoun.gov/bus/,,831900704,517,"328,533",8,"Washington, DC-VA-MD",,"4,586,770","3,470","1,322",N,,83,83,,
30083,3083,Transportation District Commission of Hampton Roads,HRT,Hampton Roads Transit,Active,Full Reporter,Full Reporter,Independent Public Agency or Authority of Transit Service, ,,,6/30/2015,10/31/2015,3400 Victoria Boulevard,,Hampton,VA,23661,,,3,http://www.gohrt.com/,1456,192487965,431,"1,143,932",34,"Virginia Beach, VA",,"1,439,666","2,793",515,Y,275,93,368,,
30085,3085,Prince George's County Transit,TheBus,,Active,Full Reporter,Full Reporter,"City, County or Local Government Unit or Department of Transportation", ,,,6/30/2015,10/31/2015,9400 Peppercorn Place,Suite #320,Largo,MD,20774,,,3,http://www.princegeorgescountymd.gov/,5350,58592189,487,"904,430",8,"Washington, DC-VA-MD",,"4,586,770","3,470","1,322",N,40,76,116,,
30087,3087,Fayette Area Coordinated Transportation,FACT,,Active,Full Reporter,Full Reporter,"City, County or Local Government Unit or Department of Transportation", ,,,6/30/2015,10/31/2015,825 Airport Road,,Lemont Furnace,PA,15456,,,3,http://www.factbus.com/,3214,86680543,812,"136,606",487,"Uniontown-Connellsville, PA",,"51,370","1,323",39,Y,26,5,31,,
30088,3088,"County Commissioners of Charles County, MD",DCS  VanGO,,Active,Full Reporter,Full Reporter,"City, County or Local Government Unit or Department of Transportation", ,,,6/30/2015,10/31/2015,8190 Port Tobacco Road,,Port Tobacco,MD,20677,,,3,http://www.go-vango.com/,,80570500,458,"154,747",283,"Waldorf, MD",,"109,919","1,617",68,Y,,27,27,,
30089,3089,Monongalia County Urban Mass Transit Authority,MLTA,Mountain Line Transit Authority,Active,Reduced Reporter,Reduced Reporter,Independent Public Agency or Authority of Transit Service, ,,,6/30/2015,10/31/2015,420 DuPont Road,,Morgantown,WV,26501,,,3,http://www.busride.org/,6105,90827650,293,"91,576",393,"Morgantown, WV",,"70,350","1,876",37,Y,25,,25,,
30090,3090,Eastern Panhandle Transit Authority,EPTA,,Active,Reduced Reporter,Reduced Reporter,Independent Public Agency or Authority of Transit Service, ,,,6/30/2015,10/31/2015,446 Novak Drive,,Martinsburg,WV,25405,8467,,3,http://www.pantran.com/,6280,80549470,527,"166,210",189,"Hagerstown, MD-WV-PA",,"182,696","1,370",133,Y,17,,17,,
30091,3091,Blacksburg Transit,BT,,Active,Full Reporter,Full Reporter,"City, County or Local Government Unit or Department of Transportation", ,,,6/30/2015,10/31/2015,2800 Commerce Street,,Blacksburg,VA,24060,,,3,http://www.btransit.org/,1451,10071975,28,"63,661",328,"Blacksburg, VA",,"88,542","1,729",51,Y,43,,43,,
30092,3092,Carroll County Department of Public Works,CTS,Carroll Transit System Operated By Butler Mobility,Active,Reduced Reporter,Reduced Reporter,"City, County or Local Government Unit or Department of Transportation", ,,,6/30/2015,10/31/2015,225 North Center Street,,Westminster,MD,21157,,,3,http://carrolltransitsystem.com/,,146064998,452,"167,564",383,"Westminster-Eldersburg, MD",,"72,714","1,260",58,Y,,29,29,,
30093,3093,City of Hazleton -- Hazleton Public Transit,HPT,,Active,Reduced Reporter,Reduced Reporter,"City, County or Local Government Unit or Department of Transportation", ,,,6/30/2015,10/31/2015,40 North Church St.,,Hazleton,PA,18201,,,3,http://www.hazletoncity.org/,6236,75306464,47,"57,482",460,"Hazleton, PA",,"56,827","1,820",31,Y,,11,11,,
30094,3094,City of Harrisonburg Department of Public Transportation,Harrisonburg Transit,,Active,Full Reporter,Full Reporter,"City, County or Local Government Unit or Department of Transportation", ,,,6/30/2015,10/31/2015,475 East Washington Street,,Harrisonburg,VA,22802,,,3,http://www.hdpt.com/,1454,70423694,17,"53,491",413,"Harrisonburg, VA",,"66,784","2,052",33,Y,38,,38,,
30095,3095,County of Lebanon Transit Authority,Lebanon Transit,,Active,Full Reporter,Full Reporter,Independent Public Agency or Authority of Transit Service, ,,,6/30/2015,10/31/2015,200 Willow Street,,Lebanon,PA,17046,,,3,http://www.lebanontransit.org/,5649,961426236,362,"133,568",366,"Lebanon, PA",,"77,086","1,710",45,Y,24,,24,,
30096,3096,The Tri-County Council for the Lower Eastern Shore of Maryland,Shore Transit,,Active,Full Reporter,Full Reporter,Independent Public Agency or Authority of Transit Service, ,,,6/30/2015,10/31/2015,31901 Tri-County Way,Suite 133,Salisbury,MD,21804,,,3,http://www.shoretransit.org/,,147767433,"1,162","176,707",307,"Salisbury, MD-DE",,"98,081","1,387",71,Y,38,13,51,,
30099,3099,City of Winchester,WinTran,,Active,Reduced Reporter,Reduced Reporter,"City, County or Local Government Unit or Department of Transportation", ,,,6/30/2015,10/31/2015,301 East Cork Street,,Winchester,VA,22601,,,3,http://www.winchesterva.gov/,3286,69380574,9,"27,216",398,"Winchester, VA",,"69,449","1,868",37,Y,7,,7,,
30101,3101,City of Washington,City Transit,,Active,Full Reporter,Full Reporter,"City, County or Local Government Unit or Department of Transportation", ,,,6/30/2015,10/31/2015,55 West Maiden Street,,Washington,PA,15301,6911,,3,http://www.washingtoncitytransit.org,1424,75644786,33,"61,634",27,"Pittsburgh, PA",,"1,733,853","1,916",905,Y,,9,9,,
30104,3104,Metropolitan Washington Airports Authority,MWAA,,Active,Building Reporter,Building Reporter,Other, ,,,12/31/2015,4/30/2016,1 Aviation Circle,,Washington,DC,20001,6000,,3,http://www.mwaa.com/,6603,116203001,,,8,"Washington, DC-VA-MD",,"4,586,770","3,470","1,322",N,,,,,
30105,3105,Northern Virginia Transportation Commission,NVTC,,Active,Planning Reporter,Planning Reporter,"MPO, COG or Other Planning Agency", ,,,6/30/2015,10/31/2015,2300 Wilson Boulevard,Suite 620,Arlington,VA,22201,,,3,http://www.thinkoutsidethecar.org/,2049,77808087,,,8,"Washington, DC-VA-MD",,"4,586,770","3,470","1,322",N,,,,,
30106,3106,National Capital Region Transportation Planning Board,MWCOG/TPB,,Active,Reduced Reporter,Reduced Reporter,"MPO, COG or Other Planning Agency", ,,,6/30/2015,10/31/2015,777 North Capitol Street NE,300,Washington,DC,20002,,,3,http://www.mwcog.org/,1473,72663115,"1,322","4,586,770",8,"Washington, DC-VA-MD",,"4,586,770","3,470","1,322",N,,11,11,,
